Protein IDs	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	LFQ intensity 736_m_wt	LFQ intensity 736_sc_wt	LFQ intensity 737_m_midy	LFQ intensity 737_sc_midy	LFQ intensity 738_m_wt	LFQ intensity 738_sc_wt	LFQ intensity 739_m_midy	LFQ intensity 739_sc_midy	LFQ intensity 740_m_midy	LFQ intensity 740_sc_midy	LFQ intensity 741_m_wt	LFQ intensity 741_sc_wt	LFQ intensity 743_m_wt	LFQ intensity 743_sc_midy	LFQ intensity 744_m_midy	LFQ intensity 744_sc_midy	LFQ intensity 745_m_wt	LFQ intensity 745_sc_wt	Only identified by site	Reverse	Potential contaminant	gene_name	alt_gene_names	bp_annotation	bp_annotation_id	cc_annotation	cc_annotation_id	kegg_annotation	kegg_annotation_id	mf_annotation	mf_annotation_id
CON__P02754	CON__P02754	NA	1	1	1	0	0	0	0	0	0	5285600	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P02768-1	CON__P02768-1	NA	39	33	31	3486600000	4431700000	4452700000	4431400000	7061000000	6529400000	5296400000	2907800000	4072400000	2981000000	4019000000	5378800000	5254500000	6058500000	5494300000	4546500000	5089000000	6343900000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P04258	CON__P04258	NA	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63859000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P04259	CON__P04259	NA	31	2	1	0	0	0	10504000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P04264	CON__P04264	NA	36	36	26	3304700000	2232000000	1899000000	3087700000	5428400000	944970000	2600300000	1390500000	1401000000	2626700000	1809900000	1907500000	3777400000	1082300000	840090000	1545400000	2459900000	987060000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P05787;CON__H-INV:HIT000292931;CON__Q9H552;CON__REFSEQ:XP_092267	CON__P05787	NA	15	2	2	0	0	0	0	16746000	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P08727;CON__P05784	CON__P08727	NA	23	7	6	0	0	0	0	394350000	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P08779	CON__P08779	NA	21	8	8	0	0	0	82930000	141170000	0	0	0	0	36835000	0	0	50195000	0	0	0	43322000	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P12763	CON__P12763	NA	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1792700	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P13645;XP_005668904.1;XP_003131508.1;XP_003131507.2;CON__Q148H6;CON__Q7Z3Y7;XP_020922673.1;CON__A2A5Y0;CON__Q92764;XP_020922672.1;CON__Q7Z3Z0;CON__O76015;CON__Q7Z3Y8;XP_003131480.2;NP_001231551.1;XP_003131481.2;CON__O76014;CON__REFSEQ:XP_986630;XP_003131512.1	CON__P13645	NA	35	35	22	3291200000	2186400000	1130100000	2552300000	6416200000	1043100000	2246300000	1265700000	1075400000	2231800000	1471800000	1650600000	3376600000	897750000	762750000	1326800000	1795200000	841720000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P13647;XP_003126221.1;XP_020947348.1;XP_020947347.1	CON__P13647;XP_003126221.1	;XP_003126221.1 keratin, type II cytoskeletal 5 [Sus scrofa]	26	13	5	22273000	7878400	18202000	44375000	738050000	0	15528000	0	0	22953000	16493000	7570900	5959400	0	0	0	0	0	NA	NA	+	KRT5	NA;KRT5;NA;NA;NA	cytoskeleton organization;epidermis development;keratinization;cornification;hemidesmosome assembly	GO:000701; GO:000854; GO:003142; GO:007026; GO:003158	cytosol;nucleus;cytoplasm;keratin filament;extracellular exosome;membrane;plasma membrane	GO:000582; GO:000563; GO:000573; GO:004509; GO:007006; GO:001602; GO:000588	"NA"	"NA"	scaffold protein binding;protein binding;structural constituent of cytoskeleton	GO:009711; GO:000551; GO:000520
CON__P15497	CON__P15497	NA	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545610000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P19013	CON__P19013	NA	8	4	1	0	0	0	0	27546000	0	0	0	0	9851300	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P34955	CON__P34955	NA	3	2	2	0	0	0	0	0	7845700	0	0	0	0	0	0	0	0	0	0	0	3831400	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P35527	CON__P35527	NA	22	21	21	380370000	234500000	460190000	476310000	418590000	136130000	312240000	198010000	201160000	297180000	244950000	217850000	552420000	184950000	96423000	194110000	525400000	187660000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P35908v2;CON__P35908;CON__Q01546;NP_001092053.1;XP_020947353.1	CON__P35908v2;CON__P35908	;	34	32	20	805430000	652620000	338420000	1145600000	1542400000	281800000	756950000	340820000	529980000	817830000	514870000	461690000	1167200000	201720000	279790000	467910000	583420000	248560000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__P41361	CON__P41361	NA	7	2	2	109480000	0	129210000	153540000	162030000	0	172290000	0	133960000	0	139340000	0	141470000	147640000	160270000	113880000	149560000	165360000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
NP_001123442.1;CON__P62894;XP_013841086.1	NP_001123442.1;CON__P62894	NP_001123442.1 cytochrome c [Sus scrofa];	5	5	5	0	0	68364000	0	97874000	72691000	60181000	63985000	59869000	63955000	0	45013000	66394000	64510000	79551000	68951000	59546000	0	NA	NA	+	CYCS	CYCS;NA;NA;NA;NA	activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c;intrinsic apoptotic signaling pathway;mitochondrial electron transport, ubiquinol to cytochrome c;mitochondrion organization;cellular respiration;protein dephosphorylation;cellular response to oxidative stress	GO:000863; GO:009719; GO:000612; GO:000700; GO:004533; GO:000647; GO:003459	mitochondrial inner membrane;respiratory chain;nucleus;mitochondrion;mitochondrial intermembrane space;protein phosphatase type 2A complex;cytosol	GO:000574; GO:007046; GO:000563; GO:000573; GO:000575; GO:000015; GO:000582	 Sulfur metabolism; p53 signaling pathway; Apoptosis; Tuberculosis; Toxoplasmosis; Influenza A; Pathways in cancer; Non-alcoholic fatty liver disease (NAFLD); Parkinson's disease; Legionellosis; Metabolic pathways; Colorectal cancer; Viral myocarditis; Small cell lung cancer	hsa0092; hsa0411; hsa0421; hsa0515; hsa0514; hsa0516; hsa0520; hsa0493; hsa0501; hsa0513; hsa0110; hsa0521; hsa0541; hsa0522	protein binding;metal ion binding;heme binding;protein serine/threonine phosphatase activity;electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity	GO:000551; GO:004687; GO:002003; GO:000472; GO:004515
XP_020949552.1;XP_003355856.1;CON__P67983;XP_020949551.1	XP_020949552.1;XP_003355856.1;CON__P67983;XP_020949551.1	XP_020949552.1 metallothionein-1D isoform X2 [Sus scrofa];XP_003355856.1 metallothionein-2A [Sus scrofa];;XP_020949551.1 metallothionein-1D isoform X1 [Sus scrofa]	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	MT1D	MT1D;MT-2B;NA;MT1D;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q04695;CON__Q9QWL7	CON__Q04695;CON__Q9QWL7	;	20	4	2	0	0	0	0	51614000	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2	;	10	4	4	114790000	179720000	113380000	243200000	183930000	456710000	148740000	174650000	129870000	183600000	182820000	0	127520000	232910000	142370000	169240000	186930000	260080000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q1RMK2	CON__Q1RMK2	NA	1	1	1	95354000	0	31099000	34500000	34305000	0	43269000	0	46186000	0	41217000	0	43367000	0	77397000	13999000	50899000	9230400	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q2HJF0	CON__Q2HJF0	NA	4	1	1	0	0	0	0	0	0	0	0	0	0	0	35672000	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q2M2I5	CON__Q2M2I5	NA	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	;;XP_020947352.1 keratin, type II cytoskeletal 73 isoform X2 [Sus scrofa];XP_020947351.1 keratin, type II cytoskeletal 73 isoform X1 [Sus scrofa];;XP_013840685.1 keratin, type II cytoskeletal 71 [Sus scrofa]	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	+	LOC100511079	NA;LOC100511079;LOC100511079;NA;LOC106506651	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q32PI4	CON__Q32PI4	NA	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16710000	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q3KNV1;CON__P08729;CON__Q9DCV7	CON__Q3KNV1;CON__P08729	;	11	7	5	0	0	0	0	0	0	89144000	0	46146000	0	52769000	0	111530000	0	81903000	0	139530000	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q3SX09;CON__P02070	CON__Q3SX09;CON__P02070	;	5	4	3	2994700000	478060000	495030000	1381200000	683280000	234130000	547460000	726850000	1400800000	351560000	989600000	542770000	2110900000	441340000	2169200000	284190000	752960000	234560000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q3SX14	CON__Q3SX14	NA	18	18	18	1429700000	3323200000	1507700000	2649700000	1549500000	3403400000	1733800000	2282000000	1801100000	2783300000	1801700000	2965300000	2619800000	2672700000	1707800000	2578200000	1867800000	3965000000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
XP_005660265.1;CON__Q3SX28	XP_005660265.1;CON__Q3SX28	XP_005660265.1 tropomyosin beta chain isoform X3 [Sus scrofa];	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77459000	0	NA	NA	+	TPM2	TPM2;NA;NA;NA;NA	muscle contraction;actin filament organization;regulation of ATPase activity;muscle filament sliding	GO:000693; GO:000701; GO:004346; GO:003004	muscle thin filament tropomyosin;actin cytoskeleton;cytosol;actin filament	GO:000586; GO:001562; GO:000582; GO:000588	 Hypertrophic cardiomyopathy (HCM); Dilated cardiomyopathy; Cardiac muscle contraction	hsa0541; hsa0541; hsa0426	actin filament binding;structural constituent of muscle;identical protein binding;protein heterodimerization activity;actin binding	GO:005101; GO:000830; GO:004280; GO:004698; GO:000377
CON__Q9Z2K1;CON__Q3ZAW8	CON__Q9Z2K1;CON__Q3ZAW8	;	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15409000	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
CON__Q5D862	CON__Q5D862	NA	2	2	2	6235300	6295600	0	6565100	20148000	0	8703500	5340900	0	0	0	0	0	0	0	0	3342100	0	NA	NA	+	NA	NA;NA;NA;NA;NA	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
NP_001001534.1	NP_001001534.1	NP_001001534.1 ryanodine receptor 1 [Sus scrofa]	2	2	2	306580000	300620000	433320000	379400000	336330000	369340000	701270000	220600000	326650000	209080000	261860000	0	434330000	356030000	291850000	238670000	601950000	466050000	NA	NA	NA	RYR1	RYR1;NA;NA;NA;NA	ion transmembrane transport;release of sequestered calcium ion into cytosol by sarcoplasmic reticulum;protein homotetramerization;calcium ion transport;skeletal muscle fiber development;cellular response to calcium ion;regulation of cardiac conduction;ossification involved in bone maturation;response to hypoxia;skin development;release of sequestered calcium ion into cytosol;muscle contraction;response to caffeine;regulation of cytosolic calcium ion concentration;cellular response to caffeine;outflow tract morphogenesis	GO:003422; GO:001480; GO:005128; GO:000681; GO:004874; GO:007127; GO:190377; GO:004393; GO:000166; GO:004358; GO:005120; GO:000693; GO:003100; GO:005148; GO:007131; GO:000315	cell cortex;junctional sarcoplasmic reticulum membrane;Z disc;calcium channel complex;smooth endoplasmic reticulum;plasma membrane;terminal cisterna;integral component of organelle membrane;cytoplasm;sarcoplasmic reticulum membrane;junctional membrane complex;I band;sarcolemma;extracellular exosome;cytoplasmic vesicle membrane;sarcoplasmic reticulum;ryanodine receptor complex	GO:000593; GO:001470; GO:003001; GO:003470; GO:000579; GO:000588; GO:001480; GO:003130; GO:000573; GO:003301; GO:003031; GO:003167; GO:004238; GO:007006; GO:003065; GO:001652; GO:199042	 Calcium signaling pathway; Long-term depression; Oxytocin signaling pathway; Circadian entrainment	hsa0402; hsa0473; hsa0492; hsa0471	ATP binding;protease binding;protein binding;calcium-release channel activity;ryanodine-sensitive calcium-release channel activity;voltage-gated calcium channel activity;calcium channel activity;calcium-induced calcium release activity;calcium ion binding	GO:000552; GO:000202; GO:000551; GO:001527; GO:000521; GO:000524; GO:000526; GO:004876; GO:000550
NP_001001535.1;XP_020930326.1	NP_001001535.1;XP_020930326.1	NP_001001535.1 desmin [Sus scrofa];XP_020930326.1 desmin isoform X1 [Sus scrofa]	41	37	36	623000000	1963200000	1532400000	0	3257700	2506400000	17947000	434080000	1251300000	3232900000	1462400000	2475000000	1482100000	20148000	76660000	377730000	150640000	0	NA	NA	NA	DES	DES;DES;NA;NA;NA	intermediate filament organization;cytoskeleton organization;muscle filament sliding;muscle contraction;regulation of heart contraction	GO:004510; GO:000701; GO:003004; GO:000693; GO:000801	cytosol;nucleus;neuromuscular junction;Z disc;intermediate filament;sarcolemma;intercalated disc;fascia adherens;extracellular exosome;cardiac myofibril;intermediate filament cytoskeleton	GO:000582; GO:000563; GO:003159; GO:003001; GO:000588; GO:004238; GO:001470; GO:000591; GO:007006; GO:009751; GO:004511	 Dilated cardiomyopathy; Hypertrophic cardiomyopathy (HCM)	hsa0541; hsa0541	cytoskeletal protein binding;protein binding;structural constituent of cytoskeleton;identical protein binding	GO:000809; GO:000551; GO:000520; GO:004280
NP_001001537.1	NP_001001537.1	NP_001001537.1 inter-alpha-trypsin inhibitor heavy chain H4 precursor [Sus scrofa]	36	2	1	0	0	0	0	48855000	54786000	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	ITIH4	ITIH4;NA;NA;NA;NA	acute-phase response;negative regulation of endopeptidase activity;hyaluronan metabolic process;response to cytokine;platelet degranulation	GO:000695; GO:001095; GO:003021; GO:003409; GO:000257	platelet dense granule lumen;blood microparticle;extracellular exosome;plasma membrane;extracellular region	GO:003108; GO:007256; GO:007006; GO:000588; GO:000557	"NA"	"NA"	endopeptidase inhibitor activity;protein binding;serine-type endopeptidase inhibitor activity	GO:000486; GO:000551; GO:000486
NP_001001539.1;XP_020934157.1;XP_020934156.1;XP_020919735.1;XP_020919734.1;XP_013835806.1;XP_013835805.1;NP_001038033.2	NP_001001539.1	NP_001001539.1 aldose reductase [Sus scrofa]	9	9	9	247990000	610270000	207280000	145510000	175900000	188600000	251730000	165480000	198550000	197090000	201670000	157300000	238820000	193490000	251790000	204740000	191880000	155800000	NA	NA	NA	AKR1B1	AKR1B1;NA;NA;NA;NA	daunorubicin metabolic process;naphthalene metabolic process;electron transport chain;norepinephrine metabolic process;oxidation-reduction process;renal water homeostasis;fructose biosynthetic process;regulation of urine volume;cellular response to methylglyoxal;negative regulation of apoptotic process;doxorubicin metabolic process;cellular hyperosmotic salinity response;positive regulation of smooth muscle cell proliferation;positive regulation of JAK-STAT cascade;maternal process involved in female pregnancy;response to thyroid hormone;response to water deprivation;stress-activated protein kinase signaling cascade;carbohydrate metabolic process;cellular response to peptide;inner medullary collecting duct development;tissue homeostasis;sorbitol biosynthetic process;C21-steroid hormone biosynthetic process	GO:004459; GO:001893; GO:002290; GO:004241; GO:005511; GO:000309; GO:004637; GO:003580; GO:009723; GO:004306; GO:004459; GO:007147; GO:004866; GO:004642; GO:006013; GO:009706; GO:000941; GO:003109; GO:000597; GO:190165; GO:007206; GO:000189; GO:000606; GO:000670	mast cell granule;Schmidt-Lanterman incisure;Schwann cell microvillus;extracellular exosome;nucleoplasm;paranodal junction;extracellular space;cytosol;cell projection cytoplasm;perinuclear region of cytoplasm	GO:004262; GO:004322; GO:009745; GO:007006; GO:000565; GO:003301; GO:000561; GO:000582; GO:003283; GO:004847	 Metabolic pathways; Pentose and glucuronate interconversions; Glycerolipid metabolism; Fructose and mannose metabolism	hsa0110; hsa0004; hsa0056; hsa0005	oxidoreductase activity;electron carrier activity;glyceraldehyde oxidoreductase activity;alditol:NADP+ 1-oxidoreductase activity;alcohol dehydrogenase (NADP+) activity	GO:001649; GO:000905; GO:004379; GO:000403; GO:000810
NP_001001542.1	NP_001001542.1	NP_001001542.1 sodium/potassium-transporting ATPase subunit beta-1 [Sus scrofa]	3	3	3	0	18481000	0	0	0	23504000	30482000	22070000	0	10406000	23340000	12923000	24919000	0	0	0	38581000	0	NA	NA	NA	ATP1B1	ATP1B1;NA;NA;NA;NA	cellular potassium ion homeostasis;response to hypoxia;ATP metabolic process;sodium ion export from cell;leukocyte migration;protein localization to plasma membrane;membrane repolarization during cardiac muscle cell action potential;positive regulation of potassium ion transmembrane transporter activity;positive regulation of potassium ion import;establishment or maintenance of transmembrane electrochemical gradient;relaxation of cardiac muscle;potassium ion import across plasma membrane;cellular calcium ion homeostasis;cellular sodium ion homeostasis;protein transport into plasma membrane raft;membrane repolarization;positive regulation of sodium ion export from cell;cell adhesion;regulation of gene expression;protein stabilization;regulation of cardiac muscle contraction by calcium ion signaling;positive regulation of ATPase activity;cardiac muscle contraction;cell communication by electrical coupling involved in cardiac conduction	GO:003000; GO:000166; GO:004603; GO:003637; GO:005090; GO:007265; GO:008601; GO:190101; GO:190328; GO:001024; GO:005511; GO:199057; GO:000687; GO:000688; GO:004486; GO:008600; GO:190327; GO:000715; GO:001046; GO:005082; GO:001088; GO:003278; GO:006004; GO:008606	plasma membrane;extracellular exosome;sodium:potassium-exchanging ATPase complex;extracellular vesicle;apical plasma membrane;caveola;sarcolemma;intercalated disc;membrane	GO:000588; GO:007006; GO:000589; GO:190356; GO:001632; GO:000590; GO:004238; GO:001470; GO:001602	 Thyroid hormone synthesis; Pancreatic secretion; cAMP signaling pathway; Cardiac muscle contraction; Thyroid hormone signaling pathway; Aldosterone-regulated sodium reabsorption	hsa0491; hsa0497; hsa0402; hsa0426; hsa0491; hsa0496	ATPase activity;MHC class II protein complex binding;sodium:potassium-exchanging ATPase activity;potassium ion binding;sodium ion binding;drug binding;protein binding;protein kinase binding;ATPase binding;protein C-terminus binding;ATP binding;ATPase activator activity	GO:001688; GO:002302; GO:000539; GO:003095; GO:003140; GO:000814; GO:000551; GO:001990; GO:005111; GO:000802; GO:000552; GO:000167
