Majority protein IDs	gene_name	GO - Biological Process	GO - Cellular Component	GO - Molecular Function	KEGG Pathway Info
CON__P35908v2;CON__P35908	NA	-	-	-	-
CON__P41361	NA	-	-	-	-
CON__Q04695;CON__Q9QWL7	NA	-	-	-	-
CON__Q1RMK2	NA	-	-	-	-
CON__Q29443;CON__Q0IIK2	NA	-	-	-	-
CON__Q2HJF0	NA	-	-	-	-
CON__Q2M2I5	NA	-	-	-	-
CON__Q32MB2;CON__Q7RTS7;XP_020947352.1;XP_020947351.1;CON__Q3SY84;XP_013840685.1	LOC100511079	-	-	-	-
CON__Q32PI4	NA	-	-	-	-
CON__Q3KNV1;CON__P08729	NA	-	-	-	-
CON__Q3SX09;CON__P02070	NA	-	-	-	-
CON__Q3SX14	NA	-	-	-	-
CON__Q5D862	NA	-	-	-	-
CON__Q9Z2K1;CON__Q3ZAW8	NA	-	-	-	-
NP_001001534.1	RYR1	GO:0034220 [Name: ion transmembrane transport]; GO:0014808 [Name: release of sequestered calcium ion into cytosol by sarcoplasmic reticulum]; GO:0051289 [Name: protein homotetramerization]; GO:0006816 [Name: calcium ion transport]; GO:0048741 [Name: skeletal muscle fiber development]; GO:0071277 [Name: cellular response to calcium ion]; GO:1903779 [Name: regulation of cardiac conduction]; GO:0043931 [Name: ossification involved in bone maturation]; GO:0001666 [Name: response to hypoxia]; GO:0043588 [Name: skin development]; GO:0051209 [Name: release of sequestered calcium ion into cytosol]; GO:0006936 [Name: muscle contraction]; GO:0031000 [Name: response to caffeine]; GO:0051480 [Name: regulation of cytosolic calcium ion concentration]; GO:0071313 [Name: cellular response to caffeine]; GO:0003151 [Name: outflow tract morphogenesis]	GO:0005938 [Name: cell cortex]; GO:0014701 [Name: junctional sarcoplasmic reticulum membrane]; GO:0030018 [Name: Z disc]; GO:0034704 [Name: calcium channel complex]; GO:0005790 [Name: smooth endoplasmic reticulum]; GO:0005886 [Name: plasma membrane]; GO:0014802 [Name: terminal cisterna]; GO:0031301 [Name: integral component of organelle membrane]; GO:0005737 [Name: cytoplasm]; GO:0033017 [Name: sarcoplasmic reticulum membrane]; GO:0030314 [Name: junctional membrane complex]; GO:0031674 [Name: I band]; GO:0042383 [Name: sarcolemma]; GO:0070062 [Name: extracellular exosome]; GO:0030315 [Name: T-tubule]; GO:0030659 [Name: cytoplasmic vesicle membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0016529 [Name: sarcoplasmic reticulum]; GO:1990425 [Name: ryanodine receptor complex]	GO:0005524 [Name: ATP binding]; GO:0002020 [Name: protease binding]; GO:0005515 [Name: protein binding]; GO:0005516 [Name: calmodulin binding]; GO:0015278 [Name: calcium-release channel activity]; GO:0005219 [Name: ryanodine-sensitive calcium-release channel activity]; GO:0005245 [Name: voltage-gated calcium channel activity]; GO:0005262 [Name: calcium channel activity]; GO:0048763 [Name: calcium-induced calcium release activity]; GO:0005509 [Name: calcium ion binding]	hsa04020 [Pathway Title: Calcium signaling pathway]; hsa04730 [Pathway Title: Long-term depression]; hsa04921 [Pathway Title: Oxytocin signaling pathway]; hsa04713 [Pathway Title: Circadian entrainment]
NP_001001535.1;XP_020930326.1	DES	GO:0045109 [Name: intermediate filament organization]; GO:0007010 [Name: cytoskeleton organization]; GO:0030049 [Name: muscle filament sliding]; GO:0006936 [Name: muscle contraction]; GO:0008016 [Name: regulation of heart contraction]	GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0031594 [Name: neuromuscular junction]; GO:0030018 [Name: Z disc]; GO:0005882 [Name: intermediate filament]; GO:0042383 [Name: sarcolemma]; GO:0014704 [Name: intercalated disc]; GO:0005916 [Name: fascia adherens]; GO:0070062 [Name: extracellular exosome]; GO:0097512 [Name: cardiac myofibril]; GO:0045111 [Name: intermediate filament cytoskeleton]	GO:0008092 [Name: cytoskeletal protein binding]; GO:0005515 [Name: protein binding]; GO:0005200 [Name: structural constituent of cytoskeleton]; GO:0042802 [Name: identical protein binding]	hsa05414 [Pathway Title: Dilated cardiomyopathy]; hsa05410 [Pathway Title: Hypertrophic cardiomyopathy (HCM)]; hsa05412 [Pathway Title: Arrhythmogenic right ventricular cardiomyopathy (ARVC)]
NP_001001537.1	ITIH4	GO:0006953 [Name: acute-phase response]; GO:0010951 [Name: negative regulation of endopeptidase activity]; GO:0030212 [Name: hyaluronan metabolic process]; GO:0034097 [Name: response to cytokine]; GO:0002576 [Name: platelet degranulation]	GO:0031089 [Name: platelet dense granule lumen]; GO:0072562 [Name: blood microparticle]; GO:0070062 [Name: extracellular exosome]; GO:0005886 [Name: plasma membrane]; GO:0005576 [Name: extracellular region]	GO:0004866 [Name: endopeptidase inhibitor activity]; GO:0005515 [Name: protein binding]; GO:0004867 [Name: serine-type endopeptidase inhibitor activity]	-
NP_001001539.1	AKR1B1	GO:0044597 [Name: daunorubicin metabolic process]; GO:0018931 [Name: naphthalene metabolic process]; GO:0022900 [Name: electron transport chain]; GO:0042415 [Name: norepinephrine metabolic process]; GO:0055114 [Name: oxidation-reduction process]; GO:0003091 [Name: renal water homeostasis]; GO:0046370 [Name: fructose biosynthetic process]; GO:0035809 [Name: regulation of urine volume]; GO:0097238 [Name: cellular response to methylglyoxal]; GO:0043066 [Name: negative regulation of apoptotic process]; GO:0044598 [Name: doxorubicin metabolic process]; GO:0071475 [Name: cellular hyperosmotic salinity response]; GO:0048661 [Name: positive regulation of smooth muscle cell proliferation]; GO:0046427 [Name: positive regulation of JAK-STAT cascade]; GO:0060135 [Name: maternal process involved in female pregnancy]; GO:0097066 [Name: response to thyroid hormone]; GO:0009414 [Name: response to water deprivation]; GO:0031098 [Name: stress-activated protein kinase signaling cascade]; GO:0005975 [Name: carbohydrate metabolic process]; GO:1901653 [Name: cellular response to peptide]; GO:0072061 [Name: inner medullary collecting duct development]; GO:0001894 [Name: tissue homeostasis]; GO:0006061 [Name: sorbitol biosynthetic process]; GO:0006700 [Name: C21-steroid hormone biosynthetic process]	GO:0042629 [Name: mast cell granule]; GO:0043220 [Name: Schmidt-Lanterman incisure]; GO:0097454 [Name: Schwann cell microvillus]; GO:0070062 [Name: extracellular exosome]; GO:0005654 [Name: nucleoplasm]; GO:0033010 [Name: paranodal junction]; GO:0005615 [Name: extracellular space]; GO:0005829 [Name: cytosol]; GO:0032838 [Name: cell projection cytoplasm]; GO:0048471 [Name: perinuclear region of cytoplasm]	GO:0016491 [Name: oxidoreductase activity]; GO:0009055 [Name: electron carrier activity]; GO:0043795 [Name: glyceraldehyde oxidoreductase activity]; GO:0004032 [Name: alditol:NADP+ 1-oxidoreductase activity]; GO:0008106 [Name: alcohol dehydrogenase (NADP+) activity]	hsa01100 [Pathway Title: Metabolic pathways]; hsa00040 [Pathway Title: Pentose and glucuronate interconversions]; hsa00561 [Pathway Title: Glycerolipid metabolism]; hsa00051 [Pathway Title: Fructose and mannose metabolism]; hsa00052 [Pathway Title: Galactose metabolism]
NP_001001542.1	ATP1B1	GO:0030007 [Name: cellular potassium ion homeostasis]; GO:0001666 [Name: response to hypoxia]; GO:0046034 [Name: ATP metabolic process]; GO:0036376 [Name: sodium ion export from cell]; GO:0050900 [Name: leukocyte migration]; GO:0072659 [Name: protein localization to plasma membrane]; GO:0086013 [Name: membrane repolarization during cardiac muscle cell action potential]; GO:1901018 [Name: positive regulation of potassium ion transmembrane transporter activity]; GO:1903288 [Name: positive regulation of potassium ion import]; GO:0010248 [Name: establishment or maintenance of transmembrane electrochemical gradient]; GO:0055119 [Name: relaxation of cardiac muscle]; GO:1990573 [Name: potassium ion import across plasma membrane]; GO:0006874 [Name: cellular calcium ion homeostasis]; GO:0006883 [Name: cellular sodium ion homeostasis]; GO:0044861 [Name: protein transport into plasma membrane raft]; GO:0086009 [Name: membrane repolarization]; GO:1903278 [Name: positive regulation of sodium ion export from cell]; GO:0007155 [Name: cell adhesion]; GO:0010468 [Name: regulation of gene expression]; GO:0050821 [Name: protein stabilization]; GO:0010882 [Name: regulation of cardiac muscle contraction by calcium ion signaling]; GO:0032781 [Name: positive regulation of ATPase activity]; GO:0060048 [Name: cardiac muscle contraction]; GO:0086064 [Name: cell communication by electrical coupling involved in cardiac conduction]; GO:1903281 [Name: positive regulation of calcium:sodium antiporter activity]	GO:0005886 [Name: plasma membrane]; GO:0070062 [Name: extracellular exosome]; GO:0005890 [Name: sodium:potassium-exchanging ATPase complex]; GO:1903561 [Name: extracellular vesicle]; GO:0016324 [Name: apical plasma membrane]; GO:0005901 [Name: caveola]; GO:0016323 [Name: basolateral plasma membrane]; GO:0042383 [Name: sarcolemma]; GO:0014704 [Name: intercalated disc]; GO:0016020 [Name: membrane]	GO:0016887 [Name: ATPase activity]; GO:0023026 [Name: MHC class II protein complex binding]; GO:0005391 [Name: sodium:potassium-exchanging ATPase activity]; GO:0030955 [Name: potassium ion binding]; GO:0031402 [Name: sodium ion binding]; GO:0008144 [Name: drug binding]; GO:0005515 [Name: protein binding]; GO:0019901 [Name: protein kinase binding]; GO:0051117 [Name: ATPase binding]; GO:0008022 [Name: protein C-terminus binding]; GO:0005524 [Name: ATP binding]; GO:0001671 [Name: ATPase activator activity]	hsa04918 [Pathway Title: Thyroid hormone synthesis]; hsa04972 [Pathway Title: Pancreatic secretion]; hsa04024 [Pathway Title: cAMP signaling pathway]; hsa04260 [Pathway Title: Cardiac muscle contraction]; hsa04919 [Pathway Title: Thyroid hormone signaling pathway]; hsa04973 [Pathway Title: Carbohydrate digestion and absorption]; hsa04974 [Pathway Title: Protein digestion and absorption]; hsa04978 [Pathway Title: Mineral absorption]; hsa04960 [Pathway Title: Aldosterone-regulated sodium reabsorption]; hsa04022 [Pathway Title: cGMP-PKG signaling pathway]; hsa04970 [Pathway Title: Salivary secretion]; hsa04261 [Pathway Title: Adrenergic signaling in cardiomyocytes]; hsa04911 [Pathway Title: Insulin secretion]; hsa04961 [Pathway Title: Endocrine and other factor-regulated calcium reabsorption]; hsa04964 [Pathway Title: Proximal tubule bicarbonate reclamation]; hsa04971 [Pathway Title: Gastric acid secretion]; hsa04976 [Pathway Title: Bile secretion]
NP_001001546.1	MBP	GO:0007268 [Name: chemical synaptic transmission]; GO:0042552 [Name: myelination]; GO:0000165 [Name: MAPK cascade]; GO:0035633 [Name: maintenance of permeability of blood-brain barrier]; GO:0008366 [Name: axon ensheathment]; GO:0009636 [Name: response to toxic substance]; GO:2000778 [Name: positive regulation of interleukin-6 secretion]; GO:1904685 [Name: positive regulation of metalloendopeptidase activity]; GO:0007605 [Name: sensory perception of sound]; GO:1904209 [Name: positive regulation of chemokine (C-C motif) ligand 2 secretion]; GO:0034115 [Name: negative regulation of heterotypic cell-cell adhesion]; GO:0061024 [Name: membrane organization]; GO:0006955 [Name: immune response]; GO:0007417 [Name: central nervous system development]; GO:0021762 [Name: substantia nigra development]	GO:0005886 [Name: plasma membrane]; GO:0033269 [Name: internode region of axon]; GO:0009986 [Name: cell surface]; GO:0032991 [Name: macromolecular complex]; GO:0005634 [Name: nucleus]; GO:0043209 [Name: myelin sheath]; GO:0043025 [Name: neuronal cell body]; GO:0071944 [Name: cell periphery]; GO:0043218 [Name: compact myelin]	GO:0019911 [Name: structural constituent of myelin sheath]; GO:0002020 [Name: protease binding]; GO:0005515 [Name: protein binding]; GO:0005516 [Name: calmodulin binding]	-
NP_001001632.1;XP_005663430.1;XP_005663427.1;XP_020944392.1;XP_005663431.1;XP_020944391.1	TPM3	GO:0030049 [Name: muscle filament sliding]; GO:0007015 [Name: actin filament organization]; GO:0006936 [Name: muscle contraction]	GO:0001725 [Name: stress fiber]; GO:0070062 [Name: extracellular exosome]; GO:0005862 [Name: muscle thin filament tropomyosin]; GO:0005884 [Name: actin filament]; GO:0005856 [Name: cytoskeleton]; GO:0005829 [Name: cytosol]; GO:0015629 [Name: actin cytoskeleton]	GO:0003674 [Name: molecular_function]; GO:0005515 [Name: protein binding]; GO:0051015 [Name: actin filament binding]	hsa04260 [Pathway Title: Cardiac muscle contraction]; hsa05200 [Pathway Title: Pathways in cancer]; hsa05216 [Pathway Title: Thyroid cancer]; hsa05410 [Pathway Title: Hypertrophic cardiomyopathy (HCM)]; hsa05414 [Pathway Title: Dilated cardiomyopathy]; hsa04261 [Pathway Title: Adrenergic signaling in cardiomyocytes]
NP_001001634.1	RPS17	"GO:0006364 [Name: rRNA processing]; GO:0042274 [Name: ribosomal small subunit biogenesis]; GO:0006413 [Name: translational initiation]; GO:0000184 [Name: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay]; GO:0006614 [Name: SRP-dependent cotranslational protein targeting to membrane]; GO:0034101 [Name: erythrocyte homeostasis]; GO:0006412 [Name: translation]"	GO:0005925 [Name: focal adhesion]; GO:0016020 [Name: membrane]; GO:0045202 [Name: synapse]; GO:0005654 [Name: nucleoplasm]; GO:0005829 [Name: cytosol]; GO:0005840 [Name: ribosome]; GO:0022627 [Name: cytosolic small ribosomal subunit]	GO:0003723 [Name: RNA binding]; GO:0003735 [Name: structural constituent of ribosome]	hsa03010 [Pathway Title: Ribosome]
NP_001001637.1;XP_005671774.1	PDLIM3	GO:0007507 [Name: heart development]; GO:0007015 [Name: actin filament organization]	GO:0015629 [Name: actin cytoskeleton]; GO:0030018 [Name: Z disc]	GO:0005515 [Name: protein binding]; GO:0008092 [Name: cytoskeletal protein binding]; GO:0046872 [Name: metal ion binding]; GO:0008307 [Name: structural constituent of muscle]	-
NP_001001638.1	RPL11	"GO:0006614 [Name: SRP-dependent cotranslational protein targeting to membrane]; GO:0034504 [Name: protein localization to nucleus]; GO:1904667 [Name: negative regulation of ubiquitin protein ligase activity]; GO:1901796 [Name: regulation of signal transduction by p53 class mediator]; GO:0006605 [Name: protein targeting]; GO:0010628 [Name: positive regulation of gene expression]; GO:1902255 [Name: positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator]; GO:0002181 [Name: cytoplasmic translation]; GO:0042273 [Name: ribosomal large subunit biogenesis]; GO:0050821 [Name: protein stabilization]; GO:0006412 [Name: translation]; GO:0000184 [Name: nuclear-transcribed mRNA catabolic process, nonsense-mediated decay]; GO:0032435 [Name: negative regulation of proteasomal ubiquitin-dependent protein catabolic process]; GO:2000059 [Name: negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process]; GO:0032092 [Name: positive regulation of protein binding]; GO:0006413 [Name: translational initiation]; GO:0000027 [Name: ribosomal large subunit assembly]; GO:0006364 [Name: rRNA processing]; GO:2000435 [Name: negative regulation of protein neddylation]"	GO:0005737 [Name: cytoplasm]; GO:0032991 [Name: macromolecular complex]; GO:0005654 [Name: nucleoplasm]; GO:0005730 [Name: nucleolus]; GO:0016020 [Name: membrane]; GO:0022625 [Name: cytosolic large ribosomal subunit]; GO:0042788 [Name: polysomal ribosome]; GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]	GO:0008097 [Name: 5S rRNA binding]; GO:0003723 [Name: RNA binding]; GO:0031625 [Name: ubiquitin protein ligase binding]; GO:0003735 [Name: structural constituent of ribosome]; GO:1990948 [Name: ubiquitin ligase inhibitor activity]; GO:0005515 [Name: protein binding]	hsa03010 [Pathway Title: Ribosome]
NP_001001640.1	MAOA	GO:0019221 [Name: cytokine-mediated signaling pathway]; GO:0042420 [Name: dopamine catabolic process]; GO:0006576 [Name: cellular biogenic amine metabolic process]; GO:0042135 [Name: neurotransmitter catabolic process]; GO:0042133 [Name: neurotransmitter metabolic process]; GO:0055114 [Name: oxidation-reduction process]	GO:0016021 [Name: integral component of membrane]; GO:0005739 [Name: mitochondrion]; GO:0005741 [Name: mitochondrial outer membrane]	GO:0008131 [Name: primary amine oxidase activity]	"hsa04728 [Pathway Title: Dopaminergic synapse]; hsa05031 [Pathway Title: Amphetamine addiction]; hsa04726 [Pathway Title: Serotonergic synapse]; hsa00260 [Pathway Title: Glycine, serine and threonine metabolism]; hsa00350 [Pathway Title: Tyrosine metabolism]; hsa00330 [Pathway Title: Arginine and proline metabolism]; hsa00380 [Pathway Title: Tryptophan metabolism]; hsa01100 [Pathway Title: Metabolic pathways]; hsa00360 [Pathway Title: Phenylalanine metabolism]; hsa00982 [Pathway Title: Drug metabolism - cytochrome P450]; hsa05030 [Pathway Title: Cocaine addiction]; hsa05034 [Pathway Title: Alcoholism]; hsa00340 [Pathway Title: Histidine metabolism]"
NP_001001641.1	EPHX2	GO:0010628 [Name: positive regulation of gene expression]; GO:0097755 [Name: positive regulation of blood vessel diameter]; GO:0006625 [Name: protein targeting to peroxisome]; GO:0019373 [Name: epoxygenase P450 pathway]; GO:0008217 [Name: regulation of blood pressure]; GO:0042759 [Name: long-chain fatty acid biosynthetic process]; GO:0046839 [Name: phospholipid dephosphorylation]; GO:0006954 [Name: inflammatory response]; GO:0072593 [Name: reactive oxygen species metabolic process]; GO:0016311 [Name: dephosphorylation]; GO:0017144 [Name: drug metabolic process]; GO:0090181 [Name: regulation of cholesterol metabolic process]; GO:0009636 [Name: response to toxic substance]; GO:0046272 [Name: stilbene catabolic process]; GO:0006805 [Name: xenobiotic metabolic process]; GO:0097176 [Name: epoxide metabolic process]; GO:0006874 [Name: cellular calcium ion homeostasis]; GO:0042632 [Name: cholesterol homeostasis]	GO:0005782 [Name: peroxisomal matrix]; GO:0005829 [Name: cytosol]; GO:0070062 [Name: extracellular exosome]; GO:0005777 [Name: peroxisome]	GO:0042577 [Name: lipid phosphatase activity]; GO:0004301 [Name: epoxide hydrolase activity]; GO:0042803 [Name: protein homodimerization activity]; GO:0015643 [Name: toxic substance binding]; GO:0016791 [Name: phosphatase activity]; GO:0000287 [Name: magnesium ion binding]; GO:0005102 [Name: receptor binding]; GO:0033885 [Name: 10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity]	hsa01100 [Pathway Title: Metabolic pathways]; hsa00590 [Pathway Title: Arachidonic acid metabolism]; hsa04146 [Pathway Title: Peroxisome]
NP_001001643.1	GDI2	GO:0043312 [Name: neutrophil degranulation]; GO:0015031 [Name: protein transport]; GO:0007165 [Name: signal transduction]; GO:0007264 [Name: small GTPase mediated signal transduction]; GO:0051056 [Name: regulation of small GTPase mediated signal transduction]; GO:0043547 [Name: positive regulation of GTPase activity]	GO:0045202 [Name: synapse]; GO:0035578 [Name: azurophil granule lumen]; GO:0031982 [Name: vesicle]; GO:0005794 [Name: Golgi apparatus]; GO:0005925 [Name: focal adhesion]; GO:0070062 [Name: extracellular exosome]; GO:0005829 [Name: cytosol]; GO:0016020 [Name: membrane]; GO:0005576 [Name: extracellular region]; GO:0034774 [Name: secretory granule lumen]; GO:0005737 [Name: cytoplasm]	GO:0005515 [Name: protein binding]; GO:0005096 [Name: GTPase activator activity]; GO:0003723 [Name: RNA binding]; GO:0005093 [Name: Rab GDP-dissociation inhibitor activity]; GO:0031267 [Name: small GTPase binding]	-
NP_001001649.2	CDH5	GO:0000902 [Name: cell morphogenesis]; GO:0044331 [Name: cell-cell adhesion mediated by cadherin]; GO:0007043 [Name: cell-cell junction assembly]; GO:0007179 [Name: transforming growth factor beta receptor signaling pathway]; GO:0016339 [Name: calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules]; GO:0098609 [Name: cell-cell adhesion]; GO:0045766 [Name: positive regulation of angiogenesis]; GO:0050728 [Name: negative regulation of inflammatory response]; GO:1903142 [Name: positive regulation of establishment of endothelial barrier]; GO:0001955 [Name: blood vessel maturation]; GO:0034332 [Name: adherens junction organization]; GO:0007156 [Name: homophilic cell adhesion via plasma membrane adhesion molecules]; GO:2000114 [Name: regulation of establishment of cell polarity]	GO:0016020 [Name: membrane]; GO:0009986 [Name: cell surface]; GO:0030054 [Name: cell junction]; GO:0005911 [Name: cell-cell junction]; GO:0005886 [Name: plasma membrane]; GO:0005913 [Name: cell-cell adherens junction]; GO:0016021 [Name: integral component of membrane]; GO:0005923 [Name: bicellular tight junction]; GO:0016342 [Name: catenin complex]	GO:0005515 [Name: protein binding]; GO:0044325 [Name: ion channel binding]; GO:0008013 [Name: beta-catenin binding]; GO:0042803 [Name: protein homodimerization activity]; GO:0005102 [Name: receptor binding]; GO:0043184 [Name: vascular endothelial growth factor receptor 2 binding]; GO:0005509 [Name: calcium ion binding]; GO:0045296 [Name: cadherin binding]; GO:0008092 [Name: cytoskeletal protein binding]	hsa04514 [Pathway Title: Cell adhesion molecules (CAMs)]; hsa04670 [Pathway Title: Leukocyte transendothelial migration]
NP_001001770.1	CYB5A	GO:0019852 [Name: L-ascorbic acid metabolic process]; GO:1902600 [Name: hydrogen ion transmembrane transport]; GO:0046686 [Name: response to cadmium ion]; GO:0022900 [Name: electron transport chain]	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005829 [Name: cytosol]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005741 [Name: mitochondrial outer membrane]	GO:0046872 [Name: metal ion binding]; GO:0019899 [Name: enzyme binding]; GO:0004129 [Name: cytochrome-c oxidase activity]; GO:0020037 [Name: heme binding]; GO:0004033 [Name: aldo-keto reductase (NADP) activity]	-
NP_001001771.1	FBN1	GO:0030198 [Name: extracellular matrix organization]; GO:0043010 [Name: camera-type eye development]; GO:0010469 [Name: regulation of receptor activity]; GO:0045671 [Name: negative regulation of osteoclast differentiation]; GO:2001205 [Name: negative regulation of osteoclast development]; GO:0043687 [Name: post-translational protein modification]; GO:1990314 [Name: cellular response to insulin-like growth factor stimulus]; GO:0071560 [Name: cellular response to transforming growth factor beta stimulus]; GO:0048050 [Name: post-embryonic eye morphogenesis]; GO:0035582 [Name: sequestering of BMP in extracellular matrix]; GO:0001656 [Name: metanephros development]; GO:0001501 [Name: skeletal system development]; GO:0033627 [Name: cell adhesion mediated by integrin]; GO:0035583 [Name: sequestering of TGFbeta in extracellular matrix]; GO:0007507 [Name: heart development]; GO:0048048 [Name: embryonic eye morphogenesis]; GO:0044267 [Name: cellular protein metabolic process]	GO:0005788 [Name: endoplasmic reticulum lumen]; GO:0001527 [Name: microfibril]; GO:0005615 [Name: extracellular space]; GO:0005604 [Name: basement membrane]; GO:0031012 [Name: extracellular matrix]; GO:0005576 [Name: extracellular region]	GO:0005201 [Name: extracellular matrix structural constituent]; GO:0005509 [Name: calcium ion binding]; GO:0044877 [Name: macromolecular complex binding]; GO:0005179 [Name: hormone activity]; GO:0005515 [Name: protein binding]; GO:0042802 [Name: identical protein binding]; GO:0008201 [Name: heparin binding]; GO:0005178 [Name: integrin binding]; GO:0030023 [Name: extracellular matrix constituent conferring elasticity]	-
NP_001001862.1	TNNC2	GO:0003009 [Name: skeletal muscle contraction]; GO:0006937 [Name: regulation of muscle contraction]; GO:0030049 [Name: muscle filament sliding]	GO:0005861 [Name: troponin complex]; GO:0005829 [Name: cytosol]	GO:0005509 [Name: calcium ion binding]; GO:0051015 [Name: actin filament binding]; GO:0005515 [Name: protein binding]; GO:0048306 [Name: calcium-dependent protein binding]; GO:0003779 [Name: actin binding]	hsa04020 [Pathway Title: Calcium signaling pathway]
NP_001001867.1	LGALS1	GO:0042493 [Name: response to drug]; GO:0010977 [Name: negative regulation of neuron projection development]; GO:0034120 [Name: positive regulation of erythrocyte aggregation]; GO:0043687 [Name: post-translational protein modification]; GO:0035900 [Name: response to isolation stress]; GO:0044267 [Name: cellular protein metabolic process]; GO:0002317 [Name: plasma cell differentiation]; GO:0006915 [Name: apoptotic process]; GO:0010812 [Name: negative regulation of cell-substrate adhesion]; GO:0043123 [Name: positive regulation of I-kappaB kinase/NF-kappaB signaling]; GO:0045445 [Name: myoblast differentiation]; GO:0071333 [Name: cellular response to glucose stimulus]; GO:0071407 [Name: cellular response to organic cyclic compound]; GO:0048678 [Name: response to axon injury]; GO:0046598 [Name: positive regulation of viral entry into host cell]; GO:0031295 [Name: T cell costimulation]; GO:0042981 [Name: regulation of apoptotic process]; GO:2001200 [Name: positive regulation of dendritic cell differentiation]	GO:0005615 [Name: extracellular space]; GO:0005788 [Name: endoplasmic reticulum lumen]; GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0009986 [Name: cell surface]; GO:0005576 [Name: extracellular region]; GO:0070062 [Name: extracellular exosome]; GO:0005737 [Name: cytoplasm]	GO:0042803 [Name: protein homodimerization activity]; GO:0043236 [Name: laminin binding]; GO:0003723 [Name: RNA binding]; GO:0030395 [Name: lactose binding]; GO:0005515 [Name: protein binding]	-
